CustomerID,Age,Gender,Tenure,SubscriptionType,MonthlyCharges,TotalCharges,ContractType,PaymentMethod,InternetService,SupportTickets,UsageHours,Churn
CUST1000,49,Female,53,Basic,105.47,5101.9,One Year,Credit Card,None,9,189.7,Yes
CUST1001,52,Male,8,Premium,60.02,7616.09,Month-to-Month,Debit Card,None,1,15.9,No
CUST1002,55,Female,27,Basic,66.72,4852.73,Two Year,UPI,Fiber,8,271.3,No
CUST1003,30,Female,46,Standard,63.77,6571.59,One Year,Debit Card,DSL,9,272.9,No
CUST1004,64,Male,50,Basic,83.36,7085.23,One Year,Net Banking,DSL,4,234.3,Yes
CUST1005,42,Female,71,Standard,25.36,1901.83,One Year,UPI,Fiber,6,3.1,No
CUST1006,26,Male,3,Standard,13.3,1775.15,One Year,Credit Card,Fiber,1,18.1,No
CUST1007,21,Male,64,Premium,43.87,4926.75,One Year,Credit Card,Fiber,8,68.3,Yes
CUST1008,31,Female,44,Standard,87.51,3347.12,Two Year,Credit Card,Fiber,8,40.3,No
CUST1009,54,Female,53,Standard,32.2,6734.9,Two Year,Credit Card,None,3,120.3,No
CUST1010,51,Female,24,Premium,84.08,7210.18,One Year,Debit Card,DSL,3,276.9,No
CUST1011,28,Female,60,Standard,116.69,2892.03,Month-to-Month,Debit Card,None,5,142.1,No
CUST1012,58,Female,3,Premium,20.33,1971.28,Two Year,Credit Card,DSL,9,5.0,No
CUST1013,20,Female,20,Premium,83.99,6266.15,Month-to-Month,Credit Card,DSL,9,85.5,No
CUST1014,45,Female,46,Standard,58.81,2270.97,Two Year,Credit Card,Fiber,9,14.3,No
CUST1015,46,Male,15,Standard,105.5,6598.65,One Year,Debit Card,None,5,11.8,Yes
CUST1016,26,Female,25,Basic,29.49,3447.53,Two Year,Credit Card,Fiber,0,83.4,No
CUST1017,20,Male,71,Premium,86.19,5373.64,One Year,Credit Card,None,8,83.4,No
CUST1018,42,Female,17,Basic,102.19,854.73,Two Year,Net Banking,DSL,1,236.4,No
CUST1019,51,Female,9,Standard,113.91,5028.49,One Year,Net Banking,Fiber,4,292.5,No
CUST1020,29,Male,38,Basic,85.16,3668.96,One Year,Credit Card,Fiber,8,112.0,Yes
CUST1021,59,Female,48,Premium,64.69,4734.21,One Year,UPI,DSL,3,129.2,No
CUST1022,26,Female,60,Basic,77.96,1427.31,One Year,Credit Card,DSL,2,253.6,No
CUST1023,32,Male,63,Premium,105.58,5921.3,Month-to-Month,Net Banking,DSL,6,81.2,No
CUST1024,57,Female,2,Standard,72.77,6916.1,One Year,UPI,Fiber,5,47.8,No
