Age,Gender,Department,JobRole,MonthlyIncome,JobSatisfaction,OverTime,YearsAtCompany
52,Female,Sales,Sales Executive,97718,2,No,22
33,Male,Sales,Sales Manager,69463,4,Yes,28
55,Male,Operations,Operations Manager,51772,3,Yes,5
34,Male,Operations,Operations Executive,113570,3,Yes,6
58,Male,Sales,Sales Executive,103857,1,No,9
57,Male,HR,HR Executive,50431,3,Yes,20
49,Female,Sales,Sales Manager,49565,1,No,13
50,Male,IT,System Admin,20726,2,Yes,0
45,Male,Finance,Finance Manager,35860,3,No,30
52,Female,HR,HR Manager,117403,3,Yes,20
46,Male,IT,Software Engineer,102926,3,No,8
44,Male,HR,HR Manager,73938,2,Yes,5
39,Male,Sales,Sales Executive,81182,1,Yes,7
31,Female,Finance,Finance Analyst,112121,4,No,6
46,Female,IT,Data Analyst,38096,4,Yes,17
49,Female,IT,Software Engineer,82847,2,Yes,29
59,Female,Finance,Finance Manager,42921,4,Yes,28
34,Male,Operations,Operations Manager,88233,2,No,16
36,Female,HR,HR Manager,110070,1,No,3
47,Male,IT,Data Analyst,51613,2,Yes,12
40,Female,HR,HR Executive,103695,2,Yes,30
27,Male,Operations,Operations Executive,31871,4,No,22
44,Female,Operations,Operations Executive,55852,1,Yes,14
37,Female,Operations,Operations Executive,86350,1,No,21
28,Male,HR,HR Manager,39718,3,No,23
31,Male,Operations,Operations Executive,24180,1,No,29
31,Male,Sales,Sales Executive,101715,2,No,10
34,Male,Sales,Sales Manager,76239,1,Yes,7
38,Female,IT,Data Analyst,95465,2,No,8
26,Male,IT,Software Engineer,108820,4,Yes,5
36,Male,IT,Software Engineer,103273,4,No,15
49,Female,Sales,Sales Executive,20406,4,No,22
41,Female,HR,HR Executive,21743,1,Yes,15
38,Female,Operations,Operations Manager,116933,3,No,6
56,Female,Operations,Operations Manager,118567,3,Yes,4
26,Female,IT,Software Engineer,42982,4,Yes,0
52,Female,IT,System Admin,96125,4,No,30
23,Male,Finance,Finance Analyst,30381,2,No,17
46,Male,Finance,Finance Analyst,119686,2,No,13
26,Female,Operations,Operations Manager,46035,1,No,18
54,Female,Sales,Sales Executive,60025,2,No,20
43,Male,IT,Data Analyst,117034,3,Yes,3
58,Male,HR,HR Executive,29934,2,Yes,15
44,Male,Finance,Finance Manager,118769,2,No,4
51,Female,Sales,Sales Manager,75360,1,Yes,18
25,Male,HR,HR Manager,33062,4,No,6
58,Female,Operations,Operations Manager,85812,2,No,7
42,Male,IT,Data Analyst,46233,2,Yes,2
56,Female,IT,Data Analyst,27399,3,No,9
26,Male,Operations,Operations Executive,65370,2,No,29
52,Male,HR,HR Executive,91033,4,No,25
57,Male,Finance,Finance Manager,84314,2,Yes,17
45,Female,IT,System Admin,21662,4,Yes,25
29,Female,IT,Software Engineer,115603,1,No,30
35,Male,HR,HR Manager,34069,3,Yes,2
36,Female,HR,HR Executive,111232,4,No,3
28,Female,Sales,Sales Manager,63899,2,Yes,1
46,Male,Finance,Finance Manager,30911,1,No,15
40,Male,Sales,Sales Executive,83744,1,Yes,8
54,Male,Finance,Finance Analyst,29073,3,No,16
32,Male,Sales,Sales Manager,65312,2,Yes,13
26,Female,Sales,Sales Executive,41654,2,No,9
41,Female,Operations,Operations Manager,93547,4,Yes,17
33,Female,HR,HR Manager,82131,2,Yes,27
34,Male,Finance,Finance Manager,80570,2,Yes,17
23,Male,Sales,Sales Manager,107743,1,Yes,0
59,Female,Sales,Sales Manager,72083,3,Yes,2
35,Male,Sales,Sales Manager,37187,4,Yes,26
52,Male,Finance,Finance Manager,90525,4,No,25
34,Male,Finance,Finance Analyst,74556,2,Yes,1
31,Male,HR,HR Manager,80500,4,Yes,23
52,Male,HR,HR Manager,97397,2,Yes,21
53,Female,Sales,Sales Executive,90973,1,Yes,29
39,Female,Sales,Sales Executive,30224,1,No,21
38,Male,Operations,Operations Executive,60370,2,No,9
46,Female,Sales,Sales Manager,118010,4,No,20
51,Female,Finance,Finance Analyst,37834,3,Yes,12
26,Male,Operations,Operations Executive,62409,4,No,13
51,Female,Operations,Operations Executive,62375,4,Yes,22
60,Male,Finance,Finance Analyst,51113,2,No,23
57,Male,Operations,Operations Executive,35061,2,Yes,10
48,Male,Operations,Operations Manager,83179,4,No,10
43,Male,Operations,Operations Manager,113553,2,No,15
29,Female,Finance,Finance Manager,101597,4,Yes,7
39,Female,IT,System Admin,37616,2,Yes,2
24,Male,Sales,Sales Executive,78410,3,Yes,1
47,Male,Operations,Operations Executive,103058,3,No,4
25,Female,Finance,Finance Analyst,101247,4,No,6
48,Female,IT,Software Engineer,100670,4,Yes,17
39,Female,IT,Data Analyst,78065,4,No,4
44,Male,Finance,Finance Manager,27391,1,No,12
54,Female,Operations,Operations Manager,100013,1,No,21
30,Male,Finance,Finance Manager,72591,2,No,22
23,Female,Finance,Finance Analyst,58411,1,No,11
59,Female,Sales,Sales Executive,88886,2,Yes,15
56,Male,Operations,Operations Executive,117867,1,Yes,3
49,Female,Finance,Finance Analyst,115257,4,No,27
54,Female,Operations,Operations Executive,119110,2,Yes,13
26,Female,Sales,Sales Manager,86132,3,Yes,19
53,Female,Operations,Operations Executive,50319,4,No,8
