Age,Gender,PolicyType,ClaimAmount,VehicleType,AccidentSeverity,ClaimType,PolicyTenure,PreviousClaims,Fraud
66,Female,Vehicle,484008,NA,Medium,Theft,9,4,No
57,Female,Health,216513,Car,High,Damage,12,0,No
49,Female,Health,366699,Car,Medium,Theft,0,4,No
51,Female,Vehicle,355842,Truck,Medium,Theft,9,5,No
45,Male,Vehicle,406594,NA,High,Damage,4,5,Yes
48,Female,Vehicle,268320,NA,Medium,Accident,11,0,No
25,Female,Life,156487,Car,High,Theft,13,1,No
56,Male,Life,187231,Bike,Medium,Accident,9,0,No
43,Male,Health,63925,Truck,High,Theft,13,3,No
51,Male,Vehicle,157023,Truck,Low,Damage,1,2,No
20,Female,Health,107388,Truck,High,Damage,11,1,No
67,Male,Health,28007,Truck,High,Theft,5,0,No
29,Male,Health,277802,NA,High,Damage,10,4,No
18,Male,Health,455048,NA,High,Theft,0,1,No
61,Female,Vehicle,78596,Bike,Medium,Damage,2,1,No
22,Male,Health,403245,Truck,Low,Accident,4,0,No
47,Female,Vehicle,443739,Truck,High,Damage,3,1,No
47,Female,Vehicle,371005,Car,Medium,Accident,2,4,No
34,Male,Life,275266,NA,Low,Damage,9,5,No
65,Male,Vehicle,368884,Truck,Low,Accident,12,1,No
64,Female,Life,35524,Bike,Low,Damage,4,5,No
40,Male,Vehicle,432498,Bike,Low,Accident,10,4,No
32,Male,Vehicle,175002,NA,High,Theft,7,0,No
54,Female,Vehicle,413293,Bike,High,Theft,10,2,Yes
38,Female,Life,145501,Bike,Medium,Accident,3,1,No
31,Male,Life,302755,NA,Medium,Damage,0,2,No
19,Female,Health,168056,Truck,Medium,Accident,10,4,No
28,Male,Life,34060,Truck,Low,Damage,6,1,No
68,Male,Life,234057,Bike,Low,Theft,7,5,No
56,Male,Life,497272,Bike,High,Damage,2,3,Yes
55,Female,Life,325447,Truck,Low,Theft,5,2,No
51,Male,Health,210279,NA,Low,Damage,1,1,No
55,Male,Life,226118,Bike,Low,Damage,6,2,No
67,Male,Vehicle,180359,Car,Medium,Damage,14,1,No
51,Female,Vehicle,59711,NA,Medium,Accident,7,0,No
35,Female,Life,163026,Bike,High,Accident,5,5,No
47,Female,Life,355484,Bike,Low,Theft,5,2,No
32,Female,Vehicle,485317,Car,Low,Theft,4,3,No
44,Female,Vehicle,484736,Car,High,Accident,7,3,Yes
68,Male,Health,238134,Truck,Low,Theft,0,4,No
51,Female,Vehicle,122974,NA,Low,Accident,9,1,No
69,Female,Vehicle,169646,NA,Medium,Damage,3,2,No
55,Female,Life,422400,Truck,High,Theft,14,4,Yes
50,Male,Vehicle,170168,NA,High,Theft,3,2,No
41,Female,Health,87728,NA,High,Accident,2,1,No
32,Female,Vehicle,185088,NA,High,Theft,2,3,No
47,Male,Life,31246,NA,Medium,Theft,3,0,No
59,Female,Life,458774,NA,Medium,Damage,10,3,No
68,Male,Vehicle,431597,Car,Low,Theft,0,4,No
34,Male,Life,409940,NA,Low,Damage,13,5,No
22,Male,Health,449671,Car,Low,Accident,10,0,No
46,Male,Health,112263,NA,Low,Theft,12,4,No
21,Male,Vehicle,417234,Truck,Medium,Damage,10,1,No
27,Female,Vehicle,31302,Bike,High,Accident,1,0,No
34,Male,Vehicle,349650,Car,Medium,Theft,8,4,No
27,Male,Life,61157,NA,Low,Accident,9,1,No
34,Female,Health,74917,Truck,Medium,Theft,1,3,No
37,Male,Health,243810,Bike,High,Accident,4,5,No
41,Female,Life,116646,Car,High,Accident,8,1,No
22,Female,Health,365266,Bike,Medium,Damage,8,2,No
51,Female,Vehicle,306663,Truck,Medium,Accident,7,1,No
23,Male,Vehicle,470035,Car,Medium,Theft,0,1,No
19,Male,Vehicle,363054,Bike,Low,Theft,0,5,No
30,Male,Health,402574,NA,Medium,Damage,8,2,No
60,Female,Vehicle,353468,Car,Medium,Theft,12,4,No
60,Male,Life,287552,Bike,Medium,Theft,10,4,No
65,Male,Life,79379,Truck,High,Theft,7,1,No
28,Male,Health,45053,Truck,High,Accident,9,2,No
68,Female,Life,422662,Car,Low,Accident,8,2,No
64,Female,Life,151994,Bike,Low,Theft,6,5,No
40,Male,Health,118723,Car,High,Damage,2,3,No
33,Male,Vehicle,71356,Car,High,Accident,2,4,No
48,Male,Vehicle,292933,Bike,High,Damage,1,5,No
28,Male,Vehicle,379864,Bike,Medium,Theft,4,0,No
33,Female,Health,348800,NA,Medium,Theft,11,4,No
25,Female,Life,326172,Bike,High,Accident,11,5,Yes
21,Female,Vehicle,346628,Truck,Medium,Theft,2,4,No
57,Female,Vehicle,52154,Car,Medium,Accident,13,3,No
21,Male,Health,233942,Car,Low,Theft,5,0,No
42,Male,Vehicle,284480,Truck,High,Theft,1,3,No
20,Male,Health,385821,Bike,High,Accident,11,0,No
49,Female,Life,349923,Truck,Medium,Accident,2,1,No
20,Male,Health,301173,Truck,High,Accident,4,5,Yes
44,Female,Health,341345,NA,Low,Theft,11,0,No
46,Female,Health,52265,Truck,Low,Theft,10,3,No
49,Male,Health,385060,Car,Low,Damage,10,4,No
67,Male,Life,263322,Truck,High,Accident,0,0,No
68,Male,Life,194944,Car,High,Theft,12,5,No
36,Female,Vehicle,66197,Car,High,Theft,0,0,No
38,Male,Life,407877,Car,High,Accident,9,2,Yes
22,Female,Life,468396,Bike,High,Damage,8,4,Yes
35,Male,Vehicle,174782,NA,Low,Accident,6,5,No
45,Female,Life,180558,Car,Medium,Damage,0,5,No
59,Female,Health,91907,Car,Low,Theft,14,1,No
39,Male,Health,411020,Bike,High,Damage,11,3,Yes
38,Female,Vehicle,222967,Car,Low,Theft,13,1,No
23,Female,Vehicle,346579,Truck,High,Accident,7,5,Yes
18,Male,Vehicle,322775,Truck,High,Accident,2,4,Yes
22,Female,Health,411182,NA,Low,Accident,7,0,No
58,Male,Life,252604,Car,High,Damage,14,0,No
